application_date,zone,applications,awarded,percentage_awarded
2025-08-30,Eightmile Zone,38,2.0,5.3
2025-08-30,Stuart Zone,140,3.0,2.1
2025-08-30,Colchuck Zone,224,2.0,0.9
2025-08-30,Core Enchantment Zone,877,4.0,0.5
2025-08-30,Snow Zone,144,4.0,2.8
2025-08-31,Eightmile Zone,14,3.0,21.4
2025-08-31,Stuart Zone,42,4.0,9.5
2025-08-31,Colchuck Zone,110,3.0,2.7
2025-08-31,Core Enchantment Zone,490,7.0,1.4
2025-08-31,Snow Zone,75,5.0,6.7
2025-09-01,Eightmile Zone,9,3.0,33.3
2025-09-01,Stuart Zone,39,4.0,10.3
2025-09-01,Colchuck Zone,85,3.0,3.5
2025-09-01,Core Enchantment Zone,417,8.0,1.9
2025-09-01,Snow Zone,50,5.0,10.0
2025-09-02,Eightmile Zone,14,2.0,14.3
2025-09-02,Stuart Zone,32,3.0,9.4
2025-09-02,Colchuck Zone,88,2.0,2.3
2025-09-02,Core Enchantment Zone,552,5.0,0.9
2025-09-02,Snow Zone,88,4.0,4.5
2025-09-03,Eightmile Zone,15,2.0,13.3
2025-09-03,Stuart Zone,36,3.0,8.3
2025-09-03,Colchuck Zone,108,2.0,1.9
2025-09-03,Core Enchantment Zone,613,4.0,0.7
2025-09-03,Snow Zone,94,5.0,5.3
2025-09-04,Eightmile Zone,19,2.0,10.5
2025-09-04,Stuart Zone,78,3.0,3.8
2025-09-04,Colchuck Zone,142,2.0,1.4
2025-09-04,Core Enchantment Zone,729,5.0,0.7
2025-09-04,Snow Zone,127,4.0,3.1
2025-09-05,Eightmile Zone,35,2.0,5.7
2025-09-05,Stuart Zone,113,3.0,2.7
2025-09-05,Colchuck Zone,205,2.0,1.0
2025-09-05,Core Enchantment Zone,920,4.0,0.4
2025-09-05,Snow Zone,159,4.0,2.5
2025-09-06,Eightmile Zone,22,2.0,9.1
2025-09-06,Stuart Zone,69,3.0,4.3
2025-09-06,Colchuck Zone,154,2.0,1.3
2025-09-06,Core Enchantment Zone,618,5.0,0.8
2025-09-06,Snow Zone,94,4.0,4.3
2025-09-07,Eightmile Zone,35,3.0,8.6
2025-09-07,Stuart Zone,48,4.0,8.3
2025-09-07,Colchuck Zone,133,3.0,2.3
2025-09-07,Core Enchantment Zone,584,6.0,1.0
2025-09-07,Snow Zone,121,5.0,4.1
2025-09-08,Eightmile Zone,26,3.0,11.5
2025-09-08,Stuart Zone,58,4.0,6.9
2025-09-08,Colchuck Zone,146,3.0,2.1
2025-09-08,Core Enchantment Zone,700,6.0,0.9
2025-09-08,Snow Zone,111,5.0,4.5
2025-09-09,Eightmile Zone,15,2.0,13.3
2025-09-09,Stuart Zone,53,3.0,5.7
2025-09-09,Colchuck Zone,155,2.0,1.3
2025-09-09,Core Enchantment Zone,778,6.0,0.8
2025-09-09,Snow Zone,127,4.0,3.1
2025-09-10,Eightmile Zone,11,2.0,18.2
2025-09-10,Stuart Zone,46,3.0,6.5
2025-09-10,Colchuck Zone,125,2.0,1.6
2025-09-10,Core Enchantment Zone,638,5.0,0.8
2025-09-10,Snow Zone,125,4.0,3.2
2025-09-11,Eightmile Zone,19,2.0,10.5
2025-09-11,Stuart Zone,71,3.0,4.2
2025-09-11,Colchuck Zone,194,2.0,1.0
2025-09-11,Core Enchantment Zone,853,5.0,0.6
2025-09-11,Snow Zone,113,4.0,3.5
2025-09-12,Eightmile Zone,49,2.0,4.1
2025-09-12,Stuart Zone,113,3.0,2.7
2025-09-12,Colchuck Zone,238,2.0,0.8
2025-09-12,Core Enchantment Zone,1008,4.0,0.4
2025-09-12,Snow Zone,156,4.0,2.6
2025-09-13,Eightmile Zone,24,2.0,8.3
2025-09-13,Stuart Zone,87,3.0,3.4
2025-09-13,Colchuck Zone,171,2.0,1.2
2025-09-13,Core Enchantment Zone,663,5.0,0.8
2025-09-13,Snow Zone,94,4.0,4.3
2025-09-14,Eightmile Zone,13,3.0,23.1
2025-09-14,Stuart Zone,58,4.0,6.9
2025-09-14,Colchuck Zone,111,3.0,2.7
2025-09-14,Core Enchantment Zone,504,5.0,1.0
2025-09-14,Snow Zone,118,5.0,4.2
2025-09-15,Eightmile Zone,13,3.0,23.1
2025-09-15,Stuart Zone,59,4.0,6.8
2025-09-15,Colchuck Zone,120,3.0,2.5
2025-09-15,Core Enchantment Zone,611,8.0,1.3
2025-09-15,Snow Zone,97,5.0,5.2
2025-09-16,Eightmile Zone,19,2.0,10.5
2025-09-16,Stuart Zone,32,3.0,9.4
2025-09-16,Colchuck Zone,83,2.0,2.4
2025-09-16,Core Enchantment Zone,602,6.0,1.0
2025-09-16,Snow Zone,81,4.0,4.9
2025-09-17,Eightmile Zone,14,2.0,14.3
2025-09-17,Stuart Zone,31,3.0,9.7
2025-09-17,Colchuck Zone,103,2.0,1.9
2025-09-17,Core Enchantment Zone,524,3.0,0.6
2025-09-17,Snow Zone,105,4.0,3.8
2025-09-18,Eightmile Zone,19,2.0,10.5
2025-09-18,Stuart Zone,63,3.0,4.8
2025-09-18,Colchuck Zone,136,2.0,1.5
2025-09-18,Core Enchantment Zone,711,5.0,0.7
2025-09-18,Snow Zone,99,4.0,4.0
2025-09-19,Eightmile Zone,32,2.0,6.2
2025-09-19,Stuart Zone,74,4.0,5.4
2025-09-19,Colchuck Zone,172,2.0,1.2
2025-09-19,Core Enchantment Zone,752,3.0,0.4
2025-09-19,Snow Zone,123,4.0,3.3
2025-09-20,Eightmile Zone,12,2.0,16.7
2025-09-20,Stuart Zone,64,3.0,4.7
2025-09-20,Colchuck Zone,101,2.0,2.0
2025-09-20,Core Enchantment Zone,494,4.0,0.8
2025-09-20,Snow Zone,90,4.0,4.4
2025-09-21,Eightmile Zone,14,3.0,21.4
2025-09-21,Stuart Zone,32,4.0,12.5
2025-09-21,Colchuck Zone,81,3.0,3.7
2025-09-21,Core Enchantment Zone,402,6.0,1.5
2025-09-21,Snow Zone,85,5.0,5.9
2025-09-22,Eightmile Zone,6,3.0,50.0
2025-09-22,Stuart Zone,29,4.0,13.8
2025-09-22,Colchuck Zone,68,3.0,4.4
2025-09-22,Core Enchantment Zone,436,5.0,1.1
2025-09-22,Snow Zone,60,5.0,8.3
2025-09-23,Eightmile Zone,5,2.0,40.0
2025-09-23,Stuart Zone,26,3.0,11.5
2025-09-23,Colchuck Zone,72,2.0,2.8
2025-09-23,Core Enchantment Zone,424,3.0,0.7
2025-09-23,Snow Zone,53,4.0,7.5
2025-09-24,Eightmile Zone,8,2.0,25.0
2025-09-24,Stuart Zone,24,3.0,12.5
2025-09-24,Colchuck Zone,77,2.0,2.6
2025-09-24,Core Enchantment Zone,449,5.0,1.1
2025-09-24,Snow Zone,76,4.0,5.3
2025-09-25,Eightmile Zone,9,2.0,22.2
2025-09-25,Stuart Zone,58,3.0,5.2
2025-09-25,Colchuck Zone,123,2.0,1.6
2025-09-25,Core Enchantment Zone,608,2.0,0.3
2025-09-25,Snow Zone,84,4.0,4.8
2025-09-26,Eightmile Zone,23,2.0,8.7
2025-09-26,Stuart Zone,80,3.0,3.8
2025-09-26,Colchuck Zone,142,2.0,1.4
2025-09-26,Core Enchantment Zone,644,5.0,0.8
2025-09-26,Snow Zone,82,4.0,4.9
2025-09-27,Eightmile Zone,11,2.0,18.2
2025-09-27,Stuart Zone,56,3.0,5.4
2025-09-27,Colchuck Zone,113,2.0,1.8
2025-09-27,Core Enchantment Zone,450,4.0,0.9
2025-09-27,Snow Zone,51,4.0,7.8
2025-09-28,Eightmile Zone,9,3.0,33.3
2025-09-28,Stuart Zone,26,4.0,15.4
2025-09-28,Colchuck Zone,71,3.0,4.2
2025-09-28,Core Enchantment Zone,335,8.0,2.4
2025-09-28,Snow Zone,91,5.0,5.5
2025-09-29,Eightmile Zone,10,3.0,30.0
2025-09-29,Stuart Zone,18,4.0,22.2
2025-09-29,Colchuck Zone,58,3.0,5.2
2025-09-29,Core Enchantment Zone,337,6.0,1.8
2025-09-29,Snow Zone,35,5.0,14.3
2025-09-30,Eightmile Zone,9,2.0,22.2
2025-09-30,Stuart Zone,35,3.0,8.6
2025-09-30,Colchuck Zone,87,2.0,2.3
2025-09-30,Core Enchantment Zone,382,4.0,1.0
2025-09-30,Snow Zone,52,4.0,7.7
2025-10-01,Eightmile Zone,4,2.0,50.0
2025-10-01,Stuart Zone,18,3.0,16.7
2025-10-01,Colchuck Zone,65,2.0,3.1
2025-10-01,Core Enchantment Zone,370,4.0,1.1
2025-10-01,Snow Zone,69,4.0,5.8
2025-10-02,Eightmile Zone,13,2.0,15.4
2025-10-02,Stuart Zone,41,3.0,7.3
2025-10-02,Colchuck Zone,83,2.0,2.4
2025-10-02,Core Enchantment Zone,520,5.0,1.0
2025-10-02,Snow Zone,68,4.0,5.9
2025-10-03,Eightmile Zone,26,2.0,7.7
2025-10-03,Stuart Zone,76,3.0,3.9
2025-10-03,Colchuck Zone,115,2.0,1.7
2025-10-03,Core Enchantment Zone,617,3.0,0.5
2025-10-03,Snow Zone,75,4.0,5.3
2025-10-04,Eightmile Zone,13,2.0,15.4
2025-10-04,Stuart Zone,39,3.0,7.7
2025-10-04,Colchuck Zone,86,2.0,2.3
2025-10-04,Core Enchantment Zone,449,3.0,0.7
2025-10-04,Snow Zone,49,4.0,8.2
2025-10-05,Eightmile Zone,9,3.0,33.3
2025-10-05,Stuart Zone,30,4.0,13.3
2025-10-05,Colchuck Zone,54,3.0,5.6
2025-10-05,Core Enchantment Zone,344,5.0,1.5
2025-10-05,Snow Zone,68,5.0,7.4
2025-10-06,Eightmile Zone,4,3.0,75.0
2025-10-06,Stuart Zone,23,4.0,17.4
2025-10-06,Colchuck Zone,48,3.0,6.2
2025-10-06,Core Enchantment Zone,295,9.0,3.1
2025-10-06,Snow Zone,24,5.0,20.8
2025-10-07,Eightmile Zone,6,2.0,33.3
2025-10-07,Stuart Zone,11,3.0,27.3
2025-10-07,Colchuck Zone,28,2.0,7.1
2025-10-07,Core Enchantment Zone,242,3.0,1.2
2025-10-07,Snow Zone,14,4.0,28.6
2025-10-08,Eightmile Zone,2,2.0,100.0
2025-10-08,Stuart Zone,13,3.0,23.1
2025-10-08,Colchuck Zone,28,2.0,7.1
2025-10-08,Core Enchantment Zone,185,4.0,2.2
2025-10-08,Snow Zone,33,4.0,12.1
2025-10-09,Eightmile Zone,9,2.0,22.2
2025-10-09,Stuart Zone,16,3.0,18.8
2025-10-09,Colchuck Zone,35,2.0,5.7
2025-10-09,Core Enchantment Zone,274,4.0,1.5
2025-10-09,Snow Zone,37,4.0,10.8
2025-10-10,Eightmile Zone,22,2.0,9.1
2025-10-10,Stuart Zone,38,3.0,7.9
2025-10-10,Colchuck Zone,70,2.0,2.9
2025-10-10,Core Enchantment Zone,324,4.0,1.2
2025-10-10,Snow Zone,57,4.0,7.0
2025-10-11,Eightmile Zone,8,2.0,25.0
2025-10-11,Stuart Zone,24,3.0,12.5
2025-10-11,Colchuck Zone,55,2.0,3.6
2025-10-11,Core Enchantment Zone,244,5.0,2.0
2025-10-11,Snow Zone,41,4.0,9.8
2025-10-12,Eightmile Zone,7,3.0,42.9
2025-10-12,Stuart Zone,13,4.0,30.8
2025-10-12,Colchuck Zone,35,3.0,8.6
2025-10-12,Core Enchantment Zone,183,6.0,3.3
2025-10-12,Snow Zone,34,5.0,14.7
2025-10-13,Eightmile Zone,5,3.0,60.0
2025-10-13,Stuart Zone,11,4.0,36.4
2025-10-13,Colchuck Zone,15,3.0,20.0
2025-10-13,Core Enchantment Zone,93,5.0,5.4
2025-10-13,Snow Zone,11,5.0,45.5
2025-10-14,Eightmile Zone,1,1.0,100.0
2025-10-14,Stuart Zone,3,2.0,66.7
2025-10-14,Colchuck Zone,21,2.0,9.5
2025-10-14,Core Enchantment Zone,73,4.0,5.5
2025-10-14,Snow Zone,10,4.0,40.0
2025-10-15,Eightmile Zone,1,1.0,100.0
2025-10-15,Stuart Zone,7,3.0,42.9
2025-10-15,Colchuck Zone,17,2.0,11.8
2025-10-15,Core Enchantment Zone,58,4.0,6.9
2025-10-15,Snow Zone,7,4.0,57.1
2025-10-16,Eightmile Zone,5,2.0,40.0
2025-10-16,Stuart Zone,6,3.0,50.0
2025-10-16,Colchuck Zone,17,2.0,11.8
2025-10-16,Core Enchantment Zone,67,3.0,4.5
2025-10-16,Snow Zone,11,4.0,36.4
2025-10-17,Eightmile Zone,5,2.0,40.0
2025-10-17,Stuart Zone,10,3.0,30.0
2025-10-17,Colchuck Zone,15,2.0,13.3
2025-10-17,Core Enchantment Zone,86,5.0,5.8
2025-10-17,Snow Zone,14,4.0,28.6
2025-10-18,Stuart Zone,8,3.0,37.5
2025-10-18,Colchuck Zone,9,2.0,22.2
2025-10-18,Core Enchantment Zone,64,3.0,4.7
2025-10-18,Snow Zone,10,4.0,40.0
2025-10-19,Eightmile Zone,2,1.0,50.0
2025-10-19,Stuart Zone,2,1.0,50.0
2025-10-19,Colchuck Zone,9,3.0,33.3
2025-10-19,Core Enchantment Zone,45,6.0,13.3
2025-10-19,Snow Zone,6,3.0,50.0
2025-10-20,Eightmile Zone,1,,0.0
2025-10-20,Stuart Zone,1,1.0,100.0
2025-10-20,Colchuck Zone,3,2.0,66.7
2025-10-20,Core Enchantment Zone,20,7.0,35.0
2025-10-20,Snow Zone,5,4.0,80.0
2025-10-21,Eightmile Zone,1,,0.0
2025-10-21,Stuart Zone,1,1.0,100.0
2025-10-21,Colchuck Zone,7,2.0,28.6
2025-10-21,Core Enchantment Zone,18,4.0,22.2
2025-10-21,Snow Zone,2,1.0,50.0
2025-10-22,Stuart Zone,3,2.0,66.7
2025-10-22,Colchuck Zone,5,2.0,40.0
2025-10-22,Core Enchantment Zone,17,4.0,23.5
2025-10-22,Snow Zone,1,1.0,100.0
2025-10-23,Eightmile Zone,1,,0.0
2025-10-23,Stuart Zone,6,3.0,50.0
2025-10-23,Colchuck Zone,1,1.0,100.0
2025-10-23,Core Enchantment Zone,25,4.0,16.0
2025-10-24,Eightmile Zone,1,1.0,100.0
2025-10-24,Colchuck Zone,3,2.0,66.7
2025-10-24,Core Enchantment Zone,35,4.0,11.4
2025-10-24,Snow Zone,3,2.0,66.7
2025-10-25,Eightmile Zone,1,1.0,100.0
2025-10-25,Colchuck Zone,4,2.0,50.0
2025-10-25,Core Enchantment Zone,25,4.0,16.0
2025-10-25,Snow Zone,3,3.0,100.0
2025-10-26,Stuart Zone,1,1.0,100.0
2025-10-26,Colchuck Zone,3,2.0,66.7
2025-10-26,Core Enchantment Zone,6,4.0,66.7
2025-10-26,Snow Zone,1,1.0,100.0
2025-10-27,Stuart Zone,3,2.0,66.7
2025-10-27,Colchuck Zone,3,2.0,66.7
2025-10-27,Core Enchantment Zone,7,5.0,71.4
2025-10-27,Snow Zone,2,1.0,50.0
2025-10-28,Eightmile Zone,1,,0.0
2025-10-28,Stuart Zone,1,1.0,100.0
2025-10-28,Colchuck Zone,1,1.0,100.0
2025-10-28,Core Enchantment Zone,2,2.0,100.0
2025-10-29,Stuart Zone,1,,0.0
2025-10-29,Core Enchantment Zone,4,2.0,50.0
2025-10-30,Stuart Zone,1,1.0,100.0
2025-10-30,Colchuck Zone,1,1.0,100.0
2025-10-30,Core Enchantment Zone,3,2.0,66.7
